COD_ART;NOMBRE;Cj/H;Disponible;Calidad;Stock Externo;M_Vta -15;M_Vta -15 AA;H;CJ;Cob;Línea;DIA;STOCK_TOTAL;DIAS_COBERTURA;DEMANDA_PREDICHA;CAJAS_PRODUCIR;HORAS_PRODUCCION
435711;Rombito Integral 100%;1.0;122.40097;0.0;0.0;0.0;0.0;;;;;;122.40097;122.40097;9.488537468927441e-14;0.0;0.0
436001;Rombito Rústico;1.0;267.6923;0.0;0.0;0.0;0.0;;;;;;267.6923;267.6923;9.787049321487071e-14;0.0;0.0
436011;Rombito Rústico;1.0;133.84615;0.0;0.0;0.0;0.0;;;;;;133.84615;133.84615;9.512052443184187e-14;0.0;0.0
436701;Mollete Multicereal con Quinoa (3%);1.0;134.87342;0.0;0.0;0.0;0.0;;;;;;134.87342;134.87342;9.514163045866253e-14;0.0;0.0
438801;Panecillo con Semillas;1.0;138.83391;0.0;0.0;196.0;28.0;;;;;;138.83391;10.625044132653061;195.99999999999977;2.0;2.0
453211;Panecillo 100% Integral;1.0;108.80043;0.0;0.0;0.0;0.0;;;;;;108.80043;108.80043;9.460594147111808e-14;0.0;0.0
453221;Panecillo 100% Integral;1.0;108.80043;0.0;0.0;0.0;0.0;;;;;;108.80043;108.80043;9.460594147111808e-14;0.0;0.0
453233;Panecillo 100% Integral;1.0;113.63273;0.0;0.0;0.0;1.0;;;;;;113.63273;113.63273;9.459260493335801e-14;0.0;0.0
453241;Panecillo 100% Integral;1.0;113.63273;0.0;0.0;224.0;0.0;;;;;;113.63273;7.609334598214286;223.99999999999974;2.0;2.0
453243;Panecillo 100% Integral;1.0;123.95874;0.0;0.0;0.0;280.0;;;;;;123.95874;123.95874;6.33838535130788e-14;0.0;0.0
453251;Panecillo 100% Integral;1.0;118.69587;0.0;0.0;0.0;476.0;;;;;;118.69587;118.69587;4.12022552271138e-14;0.0;0.0
454001;Panecillo 100% Integral;1.0;98.9047;0.0;0.0;0.0;0.0;;;;;;98.9047;98.9047;9.440262633216725e-14;0.0;0.0
5718540;Panecillo con  Semillas;1.0;138.85714;0.0;0.0;2604.0;280.0;;;;;;138.85714;0.7998683179723501;2603.999999999996;2.0;2.0
5718619;Pulguita;1.0;160.291;0.0;0.0;868.0;364.0;;;;;;160.291;2.7700057603686634;867.9999999999987;2.0;2.0
5720811;Baguetina Cereales;1.0;107.09612;0.0;0.0;419.0;0.0;;;;;;107.09612;3.8339899761336516;418.9999999999995;2.0;2.0
604301;Pepito Easy Pack 5 uds;1.0;166.21437;0.0;0.0;0.0;0.0;;;;;;166.21437;166.21437;9.578555360572704e-14;0.0;0.0
Total general;;1.0;0.0;0.0;0.0;0.0;1.0;;;;;;0.0;0.0;9.225793591052586e-14;2.0;2.0
274756;PAN PEPITO;1.0;160.28813;0.0;0.0;0.0;0.0;;;;;;160.28813;160.28813;9.566379459360202e-14;0.0;0.0
274757;PAN VIENA ANDALUZA INTEGRAL DE TRIGO 10%;1.0;205.7429;0.0;0.0;0.0;0.0;;;;;;205.7429;205.7429;9.659769667849394e-14;0.0;0.0
400121;Miniatura;1.0;196.35136;0.0;0.0;0.0;12.0;;;;;;196.35136;196.35136;9.50533036389519e-14;0.0;0.0
400221;Pepito;1.0;154.64788;0.0;0.0;0.0;0.0;;;;;;154.64788;154.64788;9.554791145890985e-14;0.0;0.0
400231;Pepito;1.0;160.18779;0.0;0.0;0.0;10.0;;;;;;160.18779;160.18779;9.453553565074014e-14;0.0;0.0
400233;Pepito;1.0;160.28813;0.0;0.0;0.0;352.0;;;;;;160.28813;160.28813;5.6021646716520907e-14;0.0;0.0
401111;Bocata;1.0;224.45714;0.0;0.0;0.0;365.0;;;;;;224.45714;224.45714;5.587599019482933e-14;0.0;0.0
401113;Bocata;1.0;224.45714;0.0;0.0;0.0;288.0;;;;;;224.45714;224.45714;6.454771004294083e-14;0.0;0.0
401301;Baguette Plus;1.0;160.34482;0.0;0.0;0.0;5.0;;;;;;160.34482;160.34482;9.510186064041464e-14;0.0;0.0
401421;Barra Castellana;1.0;137.06227;0.0;0.0;0.0;0.0;;;;;;137.06227;137.06227;9.51866020112304e-14;0.0;0.0
401423;Barra Castellana;1.0;120.91656;0.0;0.0;0.0;96.0;;;;;;120.91656;120.91656;8.404338150530411e-14;0.0;0.0
401621;Media Baguette;1.0;138.09751;0.0;0.0;0.0;0.0;;;;;;138.09751;138.09751;9.520787178763371e-14;0.0;0.0
401881;Bollo;1.0;205.58375;0.0;0.0;0.0;3.0;;;;;;205.58375;205.58375;9.625656760841569e-14;0.0;0.0
402011;Viena Mondat 145 gr;1.0;246.74846;0.0;0.0;0.0;562.0;;;;;;246.74846;246.74846;3.4147893514684907e-14;0.0;0.0
402801;Viena;1.0;224.44444;0.0;0.0;0.0;0.0;;;;;;224.44444;224.44444;9.698193373869003e-14;0.0;0.0
403321;Barra de Viena;1.0;196.69172;0.0;0.0;0.0;0.0;;;;;;196.69172;196.69172;9.641173344795219e-14;0.0;0.0
403341;Barra de Viena;1.0;242.1118;0.0;0.0;0.0;12.0;;;;;;242.1118;242.1118;9.59934859415259e-14;0.0;0.0
403801;Mini Viena Andaluza;1.0;205.70099;0.0;0.0;0.0;30.0;;;;;;205.70099;205.70099;9.321824345773245e-14;0.0;0.0
404903;Viena 170g;1.0;186.988;0.0;0.0;0.0;128.0;;;;;;186.988;186.988;8.17970367966214e-14;0.0;0.0
405121;Miniatura con Salvado;1.0;196.35943;0.0;0.0;0.0;4.0;;;;;;196.35943;196.35943;9.595442734940629e-14;0.0;0.0
405621;Media Baguette con Salvado;1.0;138.09507;0.0;0.0;0.0;0.0;;;;;;138.09507;138.09507;9.520782165601744e-14;0.0;0.0
406002;Panecito Integral 100% Ecológico Easy;1.0;136.80039;0.0;0.0;0.0;21.0;;;;;;136.80039;136.80039;9.281620698766395e-14;0.0;0.0
406301;Viena Mondat con Salvado 145 gr;1.0;224.3976;0.0;0.0;0.0;64.0;;;;;;224.3976;224.3976;8.977330812564527e-14;0.0;0.0
406401;Viena con Salvado Pequeña;1.0;205.7429;0.0;0.0;0.0;90.0;;;;;;205.7429;205.7429;8.646192023264933e-14;0.0;0.0
406501;Bollo 100 % Integral;1.0;187.00422;0.0;0.0;0.0;0.0;;;;;;187.00422;187.00422;9.621269654935187e-14;0.0;0.0
407401;Bollo Rústico Semillado;1.0;130.89849;0.0;0.0;0.0;0.0;;;;;;130.89849;130.89849;9.505996256298734e-14;0.0;0.0
407411;Bollo Rústico Semillado;1.0;130.89596;0.0;0.0;0.0;2.0;;;;;;130.89596;130.89596;9.483467110567977e-14;0.0;0.0
411001;Chapata Mini;1.0;134.71253;0.0;0.0;0.0;0.0;;;;;;134.71253;134.71253;9.513832485385057e-14;0.0;0.0
421702;Barra de Viena Ecológica Easy;1.0;180.00603;0.0;0.0;0.0;0.0;;;;;;180.00603;180.00603;9.606891352654768e-14;0.0;0.0
421802;Bollo Ecológico Easy;1.0;163.20404;0.0;0.0;0.0;0.0;;;;;;163.20404;163.20404;9.572370413507274e-14;0.0;0.0
422002;Barra de Viena 15%  Integral  Ecológico Easy;1.0;179.99915;0.0;0.0;0.0;0.0;;;;;;179.99915;179.99915;9.60687721718264e-14;0.0;0.0
423111;Panecillo con Cereales y Semillas;1.0;155.78171;0.0;0.0;0.0;12.0;;;;;;155.78171;155.78171;9.42197699808048e-14;0.0;0.0
423301;Mollete Pack 4 UDS;1.0;167.3356;0.0;0.0;0.0;28.0;;;;;;167.3356;167.3356;9.265523743864831e-14;0.0;0.0
423321;Mollete;1.0;155.66037;0.0;0.0;0.0;453.0;;;;;;155.66037;155.66037;4.4551972375544196e-14;0.0;0.0
423611;Alcachofa Semillada con Sésamo 4,35%;1.0;192.76761;0.0;0.0;0.0;0.0;;;;;;192.76761;192.76761;9.633110968700598e-14;0.0;0.0
425351;Payesito Mondat;1.0;192.67272;0.0;0.0;0.0;31.0;;;;;;192.67272;192.67272;9.283794821442051e-14;0.0;0.0
430101;Pan Bocadillo Sin Sal Añadida Easy;1.0;187.00569;0.0;0.0;0.0;0.0;;;;;;187.00569;187.00569;9.62127267515961e-14;0.0;0.0
430301;Panecillo Semillas Easy;1.0;127.17655;0.0;0.0;0.0;0.0;;;;;;127.17655;127.17655;9.498349253518075e-14;0.0;0.0
430401;Mini Panecillo Easy;1.0;134.85559;0.0;0.0;0.0;1123.0;;;;;;134.85559;134.85559;0.0;0.0;0.0
430621;Pepito Easy;1.0;166.2776;0.0;0.0;0.0;265.0;;;;;;166.2776;166.2776;6.594262206704566e-14;0.0;0.0
430702;Panecito Ecológico Easy;1.0;158.42696;0.0;0.0;0.0;219.0;;;;;;158.42696;158.42696;7.096183278566132e-14;0.0;0.0
430731;Panecito Easy;1.0;158.31932;0.0;0.0;0.0;76.0;;;;;;158.31932;158.31932;8.706424381680135e-14;0.0;0.0
431610;Bollito 100% Integral Easy Pack 8 unidades;1.0;136.00086;0.0;0.0;0.0;87.0;;;;;;136.00086;136.00086;8.536687732171378e-14;0.0;0.0
432111;Pepito Sin Sal Añadida Easy;1.0;166.22628;0.0;0.0;0.0;0.0;;;;;;166.22628;166.22628;9.57857983055425e-14;0.0;0.0
432211;Pepito con Salvado Easy;1.0;166.21578;0.0;0.0;0.0;8.0;;;;;;166.21578;166.21578;9.48846246689293e-14;0.0;0.0
432311;Pepito con Salvado Sin Sal Añadida Easy;1.0;166.21039;0.0;0.0;56.0;0.0;;;;;;166.21039;44.520640178571426;56.00000000000001;2.0;2.0
432421;Bollo Easy;1.0;149.60847;0.0;0.0;0.0;4.0;;;;;;149.60847;149.60847;9.499389407611729e-14;0.0;0.0
