Fecha;14/01/2025 16:34:43;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
COD_ART;NOM_ART;COD_GRU;Cj/H;Disponible;Calidad;Stock Externo;Pedido;1ª OF;OF;Cob-15;Vta -15;M_Vta -15;Vta -60;M_Vta-60;Vta -15 AA;M_Vta -15 AA;Vta +15 AA;M_Vta +15 AA;% Vta-15/ AA;% Vta-15/ +15 AA
432501;Pan Bocadillo con Salvado Easy;MEC;187,00706;0;0;(en blanco);0;(en blanco);(en blanco);;;;101;1,7;;;;;;
432821;Pan Bocadillo Easy;MEC;169,99643;0;0;(en blanco);0;14/01/2025;515;10,9;163;10,9;2.528;42,1;288;19,2;487;32,5;56,6 %;3,9 %
432911;Panecito con Salvado Easy;MEC;158,39643;0;0;(en blanco);4;15/01/2025;334;7,7;116;7,7;2.891;48,2;435;29,0;740;49,3;26,7 %;3,9 %
433701;Bollito Easy Pack de 8 Uds;VIME;133,91913;0;0;(en blanco);0;(en blanco);(en blanco);0,3;4;0,3;354;5,9;42;2,8;98;6,5;9,5 %;2,9 %
434011;Panecito Sin Sal Añadida Easy;MEC;158,39017;0;0;(en blanco);0;(en blanco);(en blanco);5,6;84;5,6;1.001;16,7;330;22,0;320;21,3;25,5 %;6,9 %
434111;Panecito con Salvado Sin Sal Añadida Easy;MEC;158,40635;0;0;392;0;15/01/2025;321;;;;396;6,6;168;11,2;;;;0,0 %
434201;Viena Easy;MEC;185,45964;0;0;(en blanco);0;15/01/2025;572;17,0;255;17,0;3.324;55,4;420;28,0;696;46,4;60,7 %;4,0 %
434721;Bollito Easy;VIME;134,85559;0;0;(en blanco);280;13/01/2025;411;15,5;233;15,5;2.681;44,7;518;34,5;873;58,2;45,0 %;4,0 %
435711;Rombito Integral 100%;VIME;122,40097;0;0;(en blanco);0;(en blanco);(en blanco);1,7;25;1,7;198;3,3;;;;;0,0 %;
436011;Rombito Rústico;VIME;133,84615;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;;;8;0,5;;
436701;Mollete Multicereal con Quinoa (3%);MEC;134,87342;0;0;(en blanco);0;(en blanco);(en blanco);0,1;1;0,1;39;0,7;;;;;0,0 %;
